election_id,election_name,election_date,state,total_seats,pollster,in_range_score,winner_correct,predicted_winner,actual_winner,predictions_json,actual_results_json
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Matrize,0.0,True,BJP,BJP,"{""AAP"": [32, 37], ""BJP"": [35, 40], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,P-Marq,1.75,True,BJP,BJP,"{""AAP"": [21, 31], ""BJP"": [39, 49], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,People's Insight,0.0,True,BJP,BJP,"{""AAP"": [12, 18], ""BJP"": [51, 57], ""INC"": [1, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,People's Pulse - Codemo,0.0,True,BJP,BJP,"{""AAP"": [10, 19], ""BJP"": [51, 60], ""INC"": [0, 0], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Poll Diary,2.2857,True,BJP,BJP,"{""AAP"": [18, 25], ""BJP"": [42, 50], ""INC"": [0, 2], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Chanakya Strategies,0.0,True,BJP,BJP,"{""AAP"": [25, 28], ""BJP"": [39, 44], ""INC"": [2, 3], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,DV Research,0.0,True,BJP,BJP,"{""AAP"": [26, 34], ""BJP"": [36, 44], ""INC"": [0, 0], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,JVC,0.6111,True,BJP,BJP,"{""AAP"": [22, 31], ""BJP"": [39, 45], ""INC"": [0, 2], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Mind Brink,0.0,False,AAP,BJP,"{""AAP"": [44, 49], ""BJP"": [21, 25], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Weepreside,0.0,False,AAP,BJP,"{""AAP"": [46, 52], ""BJP"": [18, 23], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,SAS Group,0.0,True,BJP,BJP,"{""AAP"": [27, 30], ""BJP"": [38, 41], ""INC"": [1, 3], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Superbo-Poll,0.0,False,AAP,BJP,"{""AAP"": [38, 43], ""BJP"": [20, 25], ""INC"": [7, 12], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Axis My India,1.75,True,BJP,BJP,"{""AAP"": [15, 25], ""BJP"": [45, 55], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,CNX,0.0,True,BJP,BJP,"{""AAP"": [10, 19], ""BJP"": [49, 61], ""INC"": [0, 1], ""Others"": [0, 1]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-05,Delhi,70,Today's Chanakya,1.4583,True,BJP,BJP,"{""AAP"": [13, 25], ""BJP"": [45, 57], ""INC"": [0, 1], ""Others"": [0, 3]}","{""AAP"": 22, ""BJP"": 48, ""INC"": 0, ""Others"": 0}"
maharashtra_2024,2024 Maharashtra Legislative Assembly election,2024-11-20,Maharashtra,288,P-MARQ,0.1667,True,Maha Yuti,Maha Yuti,"{""Maha Yuti"": [147, 157], ""Maha Vikas Aghadi"": [106, 146], ""Others"": [2, 8]}","{""Maha Yuti"": 235, ""Maha Vikas Aghadi"": 50, ""Others"": 3}"
maharashtra_2024,2024 Maharashtra Legislative Assembly election,2024-11-20,Maharashtra,288,People's Pulse,0.0,True,Maha Yuti,Maha Yuti,"{""Maha Yuti"": [175, 195], ""Maha Vikas Aghadi"": [85, 112], ""Others"": [7, 12]}","{""Maha Yuti"": 235, ""Maha Vikas Aghadi"": 50, ""Others"": 3}"
